SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-20-2020,Single Family Residential,3260 Clovewood Ln,SAN JOSE,CA,95132,1200000,3,2.0,SAN JOSE,1433,6056,1986,16,837,32,Sold,,,http://www.redfin.com/CA/San-Jose/3260-Clovewood-Ln-95132/home/1746238,MLSListings,ML81784004,N,Y,37.4156445,-121.8665124
PAST SALE,March-27-2020,Single Family Residential,3504 Pine Creek Dr,SAN JOSE,CA,95132,1100000,4,2.0,SAN JOSE,1457,8805,1973,9,755,,Sold,,,http://www.redfin.com/CA/San-Jose/3504-Pine-Creek-Dr-95132/home/1298227,MLSListings,ML81783067,N,Y,37.410213,-121.8494337
PAST SALE,July-9-2019,Single Family Residential,1895 Gillian Way,SAN JOSE,CA,95132,1070001,3,2.0,SAN JOSE,1320,6819,1973,271,811,,Sold,,,http://www.redfin.com/CA/San-Jose/1895-Gillian-Way-95132/home/1242179,MLSListings,ML81756495,N,Y,37.4061938,-121.874606
PAST SALE,April-18-2019,Single Family Residential,3903 Sophist Dr,SAN JOSE,CA,95132,1400000,4,2.5,SAN JOSE,2418,13870,1965,353,579,,Sold,,,http://www.redfin.com/CA/San-Jose/3903-Sophist-Dr-95132/home/1029871,MLSListings,ML81735385,N,Y,37.4021543,-121.8243002
PAST SALE,June-27-2019,Single Family Residential,2991 Hostetter Rd,SAN JOSE,CA,95132,1188000,4,2.0,SAN JOSE,1598,6879,1972,283,743,,Sold,,,http://www.redfin.com/CA/San-Jose/2991-Hostetter-Rd-95132/home/1713064,MLSListings,ML81746789,N,Y,37.4024637,-121.8623764
PAST SALE,August-15-2019,Single Family Residential,3268 Parkhaven Dr,SAN JOSE,CA,95132,1228000,4,2.0,SAN JOSE,1598,6519,1975,234,768,,Sold,,,http://www.redfin.com/CA/San-Jose/3268-Parkhaven-Dr-95132/home/1289095,MLSListings,ML81760094,N,Y,37.4118064,-121.8601527
PAST SALE,August-22-2019,Single Family Residential,2695 Autumnvale Dr,SAN JOSE,CA,95132,755000,2,1.0,SAN JOSE,937,7017,1973,227,806,15,Sold,,,http://www.redfin.com/CA/San-Jose/2695-Autumnvale-Dr-95132/home/1715593,MLSListings,ML81758737,N,Y,37.4067859,-121.881612
PAST SALE,November-27-2019,Townhouse,1927 Vinedale Sq,SAN JOSE,CA,95132,659000,2,1.5,SAN JOSE,1160,1480,1972,130,568,380,Sold,,,http://www.redfin.com/CA/San-Jose/1927-Vinedale-Sq-95132/home/717759,MLSListings,ML81773109,N,Y,37.4113696,-121.8608862
PAST SALE,March-27-2020,Condo/Co-op,1968 Tradan Dr,San Jose,CA,95132,470000,1,1.0,Santa Clara County,906,4979,1987,9,519,375,Sold,,,http://www.redfin.com/CA/San-Jose/1968-Tradan-Dr-95132/home/1577077,BAREIS,21924305,N,Y,37.401161,-121.88346
PAST SALE,October-18-2019,Single Family Residential,2173 BRISTOLWOOD Ln,SAN JOSE,CA,95132,1055000,3,2.0,SAN JOSE,1300,6099,1964,170,812,,Sold,,,http://www.redfin.com/CA/San-Jose/2173-Bristolwood-Ln-95132/home/741202,MLSListings,ML81768150,N,Y,37.4169083,-121.8685581
PAST SALE,November-26-2019,Single Family Residential,1181 Sandstone Ln,SAN JOSE,CA,95132,1170000,4,2.0,SAN JOSE,1994,6190,1974,131,587,,Sold,,,http://www.redfin.com/CA/San-Jose/1181-Sandstone-Ln-95132/home/1442854,MLSListings,ML81766364,N,Y,37.3887269,-121.8603973
PAST SALE,January-6-2020,Single Family Residential,2541 Amaryl Dr,SAN JOSE,CA,95132,780000,4,1.0,SAN JOSE,1260,5988,1972,90,619,,Sold,,,http://www.redfin.com/CA/San-Jose/2541-Amaryl-Dr-95132/home/1442814,MLSListings,ML81776017,N,Y,37.3898367,-121.8620206
PAST SALE,,Single Family Residential,1241 Lodestone Dr,San Jose,CA,95132,855000,4,2.0,,1125,6118,1970,,760,,,,,http://www.redfin.com/CA/San-Jose/1241-Lodestone-Dr-95132/home/1205426,,,N,Y,37.3910534,-121.86122
PAST SALE,May-31-2019,Single Family Residential,2668 Carlo Scimeca Dr,SAN JOSE,CA,95132,1150000,4,2.0,SAN JOSE,1305,6072,1972,310,881,,Sold,,,http://www.redfin.com/CA/San-Jose/2668-Carlo-Scimeca-Dr-95132/home/937478,MLSListings,ML81749580,N,Y,37.3929319,-121.8598413
PAST SALE,June-19-2019,Single Family Residential,2715 Gomes Dr,SAN JOSE,CA,95132,850000,3,2.0,SAN JOSE,1274,6122,1928,291,667,,Sold,,,http://www.redfin.com/CA/San-Jose/2715-Gomes-Dr-95132/home/938324,MLSListings,ML81743126,N,Y,37.3979115,-121.8627766
PAST SALE,December-16-2019,Single Family Residential,2847 Helmsley Dr,SAN JOSE,CA,95132,1450000,5,3.0,SAN JOSE,2533,6046,1973,111,572,,Sold,,,http://www.redfin.com/CA/San-Jose/2847-Helmsley-Dr-95132/home/1155339,MLSListings,ML81774161,N,Y,37.3886656,-121.8541484
PAST SALE,March-11-2020,Townhouse,2610 Sierra Village Ct,SAN JOSE,CA,95132,925000,2,2.5,SAN JOSE,1430,1894,1981,25,647,367,Sold,,,http://www.redfin.com/CA/San-Jose/2610-Sierra-Village-Ct-95132/home/1771022,MLSListings,ML81782359,N,Y,37.39275,-121.857475
PAST SALE,July-29-2019,Single Family Residential,1345 Vance Dr,SAN JOSE,CA,95132,1220000,4,2.0,SAN JOSE,1675,6891,1974,251,728,,Sold,,,http://www.redfin.com/CA/San-Jose/1345-Vance-Dr-95132/home/775819,MLSListings,ML81758568,N,Y,37.4027904,-121.8452558
PAST SALE,June-14-2019,Single Family Residential,5148 Felter Rd,SAN JOSE,CA,95132,1650000,5,3.5,SAN JOSE,3869,127101,1988,296,426,,Sold,,,http://www.redfin.com/CA/San-Jose/5148-Felter-Rd-95132/home/147102196,MLSListings,ML81745659,N,Y,37.431989,-121.8161139
PAST SALE,April-16-2019,Single Family Residential,745 Lariat Ln,SAN JOSE,CA,95132,1500000,3,2.0,SAN JOSE,1828,43346,1965,355,821,,Sold,,,http://www.redfin.com/CA/San-Jose/745-Lariat-Ln-95132/home/1262648,MLSListings,ML81742759,N,Y,37.3978798,-121.8196288
PAST SALE,May-31-2019,Single Family Residential,2889 Rosario Dr,San Jose,CA,95132,1155000,3,2.0,Berryessa,1412,5954,1970,310,818,,Sold,,,http://www.redfin.com/CA/San-Jose/2889-Rosario-Dr-95132/home/1783801,Bridge MLS,40862592,N,Y,37.407556,-121.8760735
PAST SALE,,Condo/Co-op,3372 Landess Ave Unit A,San Jose,CA,95132,630000,3,2.0,,1130,,1970,,558,,,,,http://www.redfin.com/CA/San-Jose/3372-Landess-Ave-95132/unit-A/home/571836,,,N,Y,37.4210083,-121.8627766
